,MSE,SSIM,Score on discriminator (accuracy)
"{'Generator': 'edge_tap', 'Discriminator': 'edge_tap', 'Data': 'edge_tap'}",4.192598199410483e-06,0.999430195296138,0.5398143
"{'Generator': 'edge_tap', 'Discriminator': 'edge_shear', 'Data': 'edge_tap'}",4.192598199410483e-06,0.999430195296138,0.5180932879447937
"{'Generator': 'edge_tap', 'Discriminator': 'surface_tap', 'Data': 'edge_tap'}",4.192598199410483e-06,0.999430195296138,0.4995483458042145
"{'Generator': 'edge_tap', 'Discriminator': 'surface_shear', 'Data': 'edge_tap'}",4.192598199410483e-06,0.999430195296138,0.4995105266571045
"{'Generator': 'edge_shear', 'Discriminator': 'edge_tap', 'Data': 'edge_shear'}",4.276763043861335e-06,0.9985279456288922,0.5218012928962708
"{'Generator': 'edge_shear', 'Discriminator': 'edge_shear', 'Data': 'edge_shear'}",4.276763043861335e-06,0.9985279456288922,0.509519636631012
"{'Generator': 'edge_shear', 'Discriminator': 'surface_tap', 'Data': 'edge_shear'}",4.276763043861335e-06,0.9985279456288922,0.4994140565395355
"{'Generator': 'edge_shear', 'Discriminator': 'surface_shear', 'Data': 'edge_shear'}",4.276763043861335e-06,0.9985279456288922,0.4995470941066742
"{'Generator': 'surface_tap', 'Discriminator': 'edge_tap', 'Data': 'surface_tap'}",3.357520244617454e-06,0.9985292387692508,0.5168201923370361
"{'Generator': 'surface_tap', 'Discriminator': 'edge_shear', 'Data': 'surface_tap'}",3.357520244617454e-06,0.9985292387692508,0.5094454288482666
"{'Generator': 'surface_tap', 'Discriminator': 'surface_tap', 'Data': 'surface_tap'}",3.357520244617454e-06,0.9985292387692508,0.499366283416748
"{'Generator': 'surface_tap', 'Discriminator': 'surface_shear', 'Data': 'surface_tap'}",3.357520244617454e-06,0.9985292387692508,0.4995744228363037
"{'Generator': 'surface_shear', 'Discriminator': 'edge_tap', 'Data': 'surface_shear'}",1.31190777986031e-06,0.9994372952120738,0.5213892459869385
"{'Generator': 'surface_shear', 'Discriminator': 'edge_shear', 'Data': 'surface_shear'}",1.31190777986031e-06,0.9994372952120738,0.5120794177055359
"{'Generator': 'surface_shear', 'Discriminator': 'surface_tap', 'Data': 'surface_shear'}",1.31190777986031e-06,0.9994372952120738,0.4994224011898041
"{'Generator': 'surface_shear', 'Discriminator': 'surface_shear', 'Data': 'surface_shear'}",1.31190777986031e-06,0.9994372952120738,0.49951961636543274
